X,Y,Z,Station,Side,Point_Type
0,12,0,0,centerline,sheer
0,-2,0,0,centerline,keel
-5.5,-2.0,19.2,1,leeward,panel
-5.06,-2.0,19.2,1,leeward,panel
-4.62,-2.0,19.2,1,leeward,panel
-4.18,-2.0,19.2,1,leeward,panel
-3.7399999999999998,-2.0,19.2,1,leeward,panel
-3.3,-2.0,19.2,1,leeward,panel
-5.5,-2.0,19.2,1,leeward,panel
-5.55,-0.3999999999999999,19.2,1,leeward,panel
-5.6,1.2000000000000002,19.2,1,leeward,panel
-5.65,2.8,19.2,1,leeward,panel
-5.7,4.4,19.2,1,leeward,panel
-5.75,6.0,19.2,1,leeward,panel
-5.8,7.6,19.2,1,leeward,panel
-5.85,9.2,19.2,1,leeward,panel
-5.9,10.8,19.2,1,leeward,panel
-5.95,12.4,19.2,1,leeward,panel
-6.0,14.0,19.2,1,leeward,panel
5.5,-2.0,19.2,1,windward,curved
5.496081249999999,-1.7363749999999998,19.2,1,windward,curved
5.485150000000001,-1.5410000000000001,19.2,1,windward,curved
5.468443749999999,-1.407125,19.2,1,windward,curved
5.4472000000000005,-1.3280000000000003,19.2,1,windward,curved
5.42265625,-1.296875,19.2,1,windward,curved
5.39605,-1.3069999999999997,19.2,1,windward,curved
5.3686187499999996,-1.351625,19.2,1,windward,curved
5.341600000000001,-1.4240000000000002,19.2,1,windward,curved
5.316231250000001,-1.5173750000000004,19.2,1,windward,curved
5.29375,-1.625,19.2,1,windward,curved
5.27539375,-1.7401250000000004,19.2,1,windward,curved
5.2624,-1.8560000000000003,19.2,1,windward,curved
5.25600625,-1.965875,19.2,1,windward,curved
5.2574499999999995,-2.0629999999999997,19.2,1,windward,curved
5.26796875,-2.140625,19.2,1,windward,curved
5.2888,-2.192,19.2,1,windward,curved
5.3211812499999995,-2.210375,19.2,1,windward,curved
5.366350000000001,-2.189,19.2,1,windward,curved
5.425543749999999,-2.121125,19.2,1,windward,curved
5.5,-2.0,19.2,1,windward,curved
5.5,-2.0,19.2,1,windward,panel
5.55,-0.3999999999999999,19.2,1,windward,panel
5.6,1.2000000000000002,19.2,1,windward,panel
5.65,2.8,19.2,1,windward,panel
5.7,4.4,19.2,1,windward,panel
5.75,6.0,19.2,1,windward,panel
5.8,7.6,19.2,1,windward,panel
5.85,9.2,19.2,1,windward,panel
5.9,10.8,19.2,1,windward,panel
5.95,12.4,19.2,1,windward,panel
6.0,14.0,19.2,1,windward,panel
-8.5,-4.0,38.4,2,leeward,panel
-7.819999999999999,-3.7,38.4,2,leeward,panel
-7.14,-3.4,38.4,2,leeward,panel
-6.46,-3.1,38.4,2,leeward,panel
-5.779999999999999,-2.8,38.4,2,leeward,panel
-5.1,-2.5,38.4,2,leeward,panel
-8.5,-1.0,38.4,2,leeward,panel
-8.55,0.6000000000000001,38.4,2,leeward,panel
-8.6,2.2,38.4,2,leeward,panel
-8.65,3.8,38.4,2,leeward,panel
-8.7,5.4,38.4,2,leeward,panel
-8.75,7.0,38.4,2,leeward,panel
-8.8,8.6,38.4,2,leeward,panel
-8.85,10.2,38.4,2,leeward,panel
-8.9,11.8,38.4,2,leeward,panel
-8.95,13.4,38.4,2,leeward,panel
-9.0,15.0,38.4,2,leeward,panel
8.5,-4.0,38.4,2,windward,curved
8.493943749999998,-3.714625,38.4,2,windward,curved
8.47705,-3.4570000000000003,38.4,2,windward,curved
8.451231249999998,-3.2248749999999995,38.4,2,windward,curved
8.418400000000002,-3.016000000000001,38.4,2,windward,curved
8.38046875,-2.828125,38.4,2,windward,curved
8.339349999999998,-2.659,38.4,2,windward,curved
8.29695625,-2.506375,38.4,2,windward,curved
8.255200000000002,-2.3680000000000003,38.4,2,windward,curved
8.215993750000003,-2.2416250000000004,38.4,2,windward,curved
8.18125,-2.125,38.4,2,windward,curved
8.15288125,-2.015875,38.4,2,windward,curved
8.132800000000001,-1.9120000000000001,38.4,2,windward,curved
8.12291875,-1.8111249999999997,38.4,2,windward,curved
8.12515,-1.711,38.4,2,windward,curved
8.14140625,-1.609375,38.4,2,windward,curved
8.1736,-1.504,38.4,2,windward,curved
8.223643749999999,-1.3926249999999998,38.4,2,windward,curved
8.29345,-1.2730000000000001,38.4,2,windward,curved
8.38493125,-1.142875,38.4,2,windward,curved
8.5,-1.0,38.4,2,windward,curved
8.5,-1.0,38.4,2,windward,panel
8.55,0.6000000000000001,38.4,2,windward,panel
8.6,2.2,38.4,2,windward,panel
8.65,3.8,38.4,2,windward,panel
8.7,5.4,38.4,2,windward,panel
8.75,7.0,38.4,2,windward,panel
8.8,8.6,38.4,2,windward,panel
8.85,10.2,38.4,2,windward,panel
8.9,11.8,38.4,2,windward,panel
8.95,13.4,38.4,2,windward,panel
9.0,15.0,38.4,2,windward,panel
-10.0,-6.0,57.6,3,leeward,panel
-9.2,-5.4,57.6,3,leeward,panel
-8.4,-4.8,57.6,3,leeward,panel
-7.6,-4.2,57.6,3,leeward,panel
-6.799999999999999,-3.5999999999999996,57.6,3,leeward,panel
-6.0,-3.0,57.6,3,leeward,panel
-10.0,0.0,57.6,3,leeward,panel
-10.1,1.6,57.6,3,leeward,panel
-10.2,3.2,57.6,3,leeward,panel
-10.3,4.8,57.6,3,leeward,panel
-10.4,6.4,57.6,3,leeward,panel
-10.5,8.0,57.6,3,leeward,panel
-10.6,9.6,57.6,3,leeward,panel
-10.7,11.2,57.6,3,leeward,panel
-10.8,12.8,57.6,3,leeward,panel
-10.9,14.4,57.6,3,leeward,panel
-11.0,16.0,57.6,3,leeward,panel
10.0,-6.0,57.6,3,windward,curved
9.992875,-5.692875,57.6,3,windward,curved
9.973,-5.373000000000001,57.6,3,windward,curved
9.942624999999998,-5.042624999999999,57.6,3,windward,curved
9.904000000000003,-4.7040000000000015,57.6,3,windward,curved
9.859375,-4.359375,57.6,3,windward,curved
